pID,density
TPS1F0014,0.44
TPS1F0015,0.14
TPS1F0016,0.28
TPS1F0020,0.29
TPS1F0021,0.14
TPS1F0022,0.38
TPS1F0023,0.32
TPS1F0027,0.19
TPS1F0028,0.24
TPS1F0029,0.04
TPS1F0030,0.28
TPS1F0031,0.34
TPS1F0033,0.42
TPS1F0039,0.17
TPS1F0040,0.22
TPS1F0041,0.17
TPS1F0042,0.24
TPS1F0045,0.28
TPS1F0047,0.15
TPS1F0048,0.27
TPS1P0005,0.12
TPS1P0009,0.34
TPS1P0011,0.47
TPS1P0013,0.34
TPS2001,0.07
TPS2002,0.24
TPS2003,0.57
TPS2004,0.14
TPS2005,0.47
TPS2008,0.23
TPS2011,0.32
TPS2012,0.19
TPS2013,0.2
TPS2014,0.21
TPS2015,0.38
TPS2016,0.2
TPS2017,0.26
TPS2019,0.31
TPS2020,0.1
TPS2021,0.22
TPS2023,0.2
TPS2024,0.35
TPS2028,0.21
TPS2029,0.29
TPS2030,0.24
TPS2031,0.07
TPS2032,0.15
TPS2033,0.17
TPS2034,0.21
TPS2035,0.16
TPS2038,0.08
TPS2039,0.3
TPS2045,0.12
TPS2048,0.22
TPS2049,0.33
TPS2050,0.25
TPS2052,0.26
TPS2053,0.21
TPS2055,0.35
TPS2056,0.21
TPS2058,0.28
TPS2060,0.22
TPS2061,0.12
TPS2062,0.16
TPS2063,0.22
TPS2064,0.44
TPS2065,0.48
TPS2066,0.14
TPS2067,0.35
TPS2069,0.2
TPS2070,0.28
TPS2071,0.2
TPS2072,0.13
TPS2074,0.18
TPS2075,0.47
TPS2076,0.49
TPS2077,0.23
TPS2078,0.43
TPS2079,0.21
TPS2080,0.25